{851FE0CC-6097-428B-89D4-0BCF80D47E25} ActiveDirectory
{CDE964EE-4BD5-4279-8B74-7B8058E088F8} ACLDataExclusion
{068E779E-3FF8-4CC8-9AE1-1217EE97682A} Alarms
{77721937-500F-4626-94C4-FCEABABC05E6} AuditLog
{A832C838-F2E8-4D14-BAEF-6CEDB834C644} ApplicationFilter
{56C00F66-3166-4573-9D86-7053381FC8EF} ApplicationStats
{C7387B3D-F48C-44BC-BB84-92038AF729F1} BPFFilter
{A9DDC0FA-8CF4-4E4C-ACC0-6CA3FE06E8FF} CallSearch
{5BCB5CFA-4DC6-494A-B9BB-9D90896D9ED1} CaptureComment
{7C8565D1-94CB-482F-A352-83B9616917A3} CaptureToDisk
{6F2EC24E-9A77-4804-95C6-5F57865D569B} CaptureToDiskCompression
{8986729F-312F-4CC2-868C-23CD9108E27F} CaptureToDiskDir
{C1A85490-2D86-4D38-AF00-0D8F1C3CFE01} CaptureToDiskIntelligent
{183821D0-78C6-496B-ABFF-00E39D3DE8E1} CaptureToDiskPcap
{7EE163ED-4A13-4F17-802D-5718E6D4B7E3} CaptureToDiskPriority
{EB982490-41B7-4F74-86C5-B883FC5CACE0} CaptureToDiskRetentionTime
{6F2EC24E-9A77-4804-95C6-5F57865D569B} CaptureToDiskCompression
{F4836993-22CA-42BF-88F7-7029291F479C} Compass
{05181CC1-6A6D-4506-9802-852436EDEAB5} ConfigureAPITokensACL
{DF6EB7F9-3ABA-46CB-99FF-9F92D0F7BC9D} CountryFilter
{8071DE19-3914-412E-B901-9A39D763D540} CountryStatistics
{C4307702-6ACB-459E-93CB-6B9C943A956C} DecodeSnippets
{65FC9640-31CD-4D15-BA78-F6B84063BE67} Decryption
{F74D7114-BEA9-46E9-A6D4-903FC7A2131C} DiagnosticsInfo
{0E06167B-E99D-45F8-925E-77BD5E39DE02} DisconnectUsers
{60CFA97A-373E-4E81-AFA8-1234C7F3A295} DistributedForensicSearch
{AEE99C6E-27A7-4598-B4FC-320BF65120C2} EmailAuthentication
{9244F0FB-9A97-43F6-AF4C-47830D98ADAA} ExpertQuery
{D214854D-0611-4B81-B0C2-9E4B3EC89FFF} FileOutput
{AA400B03-6DE4-41C2-B7B9-01AE7B878471} Filters
{59557CB3-A161-4500-B4E0-54B82CE88AD6} FilterGroups
{AC4CF3F4-6317-4393-AE9F-87485D397B24} Forensics
