CATEGORY,VALUE,NGRAM
END,فولد,1
END,فروى,1
END,فعن,1
END,فيروي,1
END,فتروي,1
END,فسمع,1
END,فحدث,1
END,فقرأ,1
END,فأخذ,1
END,فحكى,1
END,فأخبرنا,1
END,فتفق,1
END,فذكر,1
END,فوفد,1
END,فقد,1
END,فتوفي,1
END,فمات,1
END,فمولد,1
END,فأجاز,1
END,فأنبأنا,1
END,فقدم,1
END,وولد,1
END,وروى,1
END,وعن,1
END,ويروي,1
END,وتروي,1
END,وسمع,1
END,وحدث,1
END,وقرأ,1
END,وأخذ,1
END,وحكى,1
END,وأخبرنا,1
END,وتفق,1
END,وذكر,1
END,ووفد,1
END,وقد,1
END,وتوفي,1
END,ومات,1
END,ومولد,1
END,وأجاز,1
END,وأنبأنا,1
END,وقدم,1
END,ولد,1
END,روى,1
END,عن,1
END,يروي,1
END,تروي,1
END,سمع,1
END,حدث,1
END,قرأ,1
END,أخذ,1
END,حكى,1
END,أخبرنا,1
END,تفق,1
END,ذكر,1
END,وفد,1
END,قد,1
END,توفي,1
END,مات,1
END,مولد,1
END,أجاز,1
END,أنبأنا,1
END,قدم,1
END,ولده,1
END,روىه,1
END,عنه,1
END,يرويه,1
END,ترويه,1
END,سمعه,1
END,حدثه,1
END,قرأه,1
END,أخذه,1
END,حكىه,1
END,أخبرناه,1
END,تفقه,1
END,ذكره,1
END,وفده,1
END,قده,1
END,توفيه,1
END,ماته,1
END,مولده,1
END,أجازه,1
END,أنبأناه,1
END,قدمه,1
END,ولدت,1
END,روىت,1
END,عنت,1
END,يرويت,1
END,ترويت,1
END,سمعت,1
END,حدثت,1
END,قرأت,1
END,أخذت,1
END,حكىت,1
END,أخبرنات,1
END,تفقت,1
END,ذكرت,1
END,وفدت,1
END,قدت,1
END,توفيت,1
END,ماتت,1
END,مولدت,1
END,أجازت,1
END,أنبأنات,1
END,قدمت,1
END,ولدها,1
END,روىها,1
END,عنها,1
END,يرويها,1
END,ترويها,1
END,سمعها,1
END,حدثها,1
END,قرأها,1
END,أخذها,1
END,حكىها,1
END,أخبرناها,1
END,تفقها,1
END,ذكرها,1
END,وفدها,1
END,قدها,1
END,توفيها,1
END,ماتها,1
END,مولدها,1
END,أجازها,1
END,أنبأناها,1
END,قدمها,1
END,NASAB,1
EXP,فالمعروف ب,2
EXP,فيعرف ب,2
EXP,فالملقب ب,2
EXP,فمعروف ب,2
EXP,فيلقب ب,2
EXP,فعرف ب,2
EXP,فالشهير ب,2
EXP,فيقال له,2
EXP,فالمشتهر ب,2
EXP,فلقب ب,2
EXP,فالمشهور ب,2
EXP,فيقال,1
EXP,فالملقب,1
EXP,فمرءة,1
EXP,فكان يسمى,2
EXP,فالمعروفة ب,2
EXP,فتلقب ب,2
EXP,فكان يلقب ب,3
EXP,فمشهور ب,2
EXP,فلقب,1
EXP,فيدعى ب,2
EXP,فاسمه,1
EXP,فثم,1
EXP,فيعني,1
EXP,فمن أهل ,2
EXP,فأهل ال,2
EXP,فوالد,1
EXP,فالأصل,1
EXP,فأصله من,2
EXP,فكان من,2
EXP,فالماضي,1
EXP,فالآتي,1
EXP,فنسبة,1
EXP,فيعرف كسلفه ب,3
EXP,فتعرف ب,2
EXP,فنزيل,1
EXP,فكان يسكن ب,3
EXP,فزوج,1
EXP,فصلى الله وعليه وسلم,4
EXP,والمعروف ب,2
EXP,ويعرف ب,2
EXP,والملقب ب,2
EXP,ومعروف ب,2
