rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
YWWPM8YD7DRVP3JK.JRTCKXETXF.6YS6EN2CT7,2.2991200000,US East (N. Virginia),Memory optimized,16,r6idn.4xlarge,128 GiB,1 x 950 NVMe SSD,Up to 50000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
YZRM47UFBU2YUHZE.JRTCKXETXF.6YS6EN2CT7,6.1200000000,US East (N. Virginia),GPU instance,48,g4dn.12xlarge,192 GiB,900 GB NVMe SSD,50 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
YZRZ8W64AYUZRTK7.JRTCKXETXF.6YS6EN2CT7,0.9249200000,US East (N. Virginia),General purpose,8,m6in.2xlarge,32 GiB,EBS only,Up to 40000 Megabit,Windows,General Purpose,Windows,NA,No License required
Z2HRXPQJGKBW2EM6.JRTCKXETXF.6YS6EN2CT7,1.7944000000,US East (N. Virginia),Memory optimized,16,r7i.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
XK2EU2XXUUKXXPRS.JRTCKXETXF.6YS6EN2CT7,0.4108000000,US East (N. Virginia),Compute optimized,4,c6in.xlarge,8 GiB,EBS only,Up to 30000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
Z8R3PH6TSF8JGPUV.JRTCKXETXF.6YS6EN2CT7,9.8592000000,US East (N. Virginia),Compute optimized,96,c6in.24xlarge,192 GiB,EBS only,150000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
Z97U3G8WN7PU5BRW.JRTCKXETXF.6YS6EN2CT7,3.2800000000,US East (N. Virginia),Memory optimized,32,r5a.8xlarge,256 GiB,EBS only,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
Z9SB76RG7AYSDDDQ.JRTCKXETXF.6YS6EN2CT7,0.1108000000,US East (N. Virginia),General purpose,2,t3.large,8 GiB,EBS only,Up to 5 Gigabit,Windows,General Purpose,Windows,NA,No License required
ZBYX93H6NMF57UPW.JRTCKXETXF.6YS6EN2CT7,2.9305600000,US East (N. Virginia),General purpose,32,m7i-flex.8xlarge,128 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
ZF4B42K8PJW7G4TW.JRTCKXETXF.6YS6EN2CT7,2.1306400000,US East (N. Virginia),Memory optimized,16,r6in.4xlarge,128 GiB,EBS only,Up to 50000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
ZFQ6PGN95FA9TCR8.JRTCKXETXF.6YS6EN2CT7,0.2050000000,US East (N. Virginia),Memory optimized,2,r5a.large,16 GiB,EBS only,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
ZG4JRPCC4VZQWHCQ.JRTCKXETXF.6YS6EN2CT7,0.4500000000,US East (N. Virginia),Memory optimized,4,r4.xlarge,30.5 GiB,EBS only,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
ZGDW4XDTYZ7XZQ2G.JRTCKXETXF.6YS6EN2CT7,0.4158400000,US East (N. Virginia),General purpose,4,m7a.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
ZKNV3YNZ7ETKWSWB.JRTCKXETXF.6YS6EN2CT7,0.1208000000,US East (N. Virginia),General purpose,2,t2.large,8 GiB,EBS only,Low to Moderate,Windows,General Purpose,Windows,NA,No License required
ZCWE2KR9UEJCTTXX.JRTCKXETXF.6YS6EN2CT7,1.9456000000,US East (N. Virginia),Memory optimized,16,r6id.4xlarge,128 GiB,1 x 950 NVMe SSD,Up to 12500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
ZDKHAWAESF3AUZAQ.JRTCKXETXF.6YS6EN2CT7,15.2640000000,US East (N. Virginia),Storage optimized,96,i3en.24xlarge,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,Windows,Storage Optimized,Windows,NA,No License required
Y2VGVAY5NP5RWM39.JRTCKXETXF.6YS6EN2CT7,1.5430000000,US East (N. Virginia),General purpose,12,m5zn.3xlarge,48 GiB,EBS only,Up to 25 Gigabit,Windows,General Purpose,Windows,NA,No License required
Y3FRM7BRXT57DCWN.JRTCKXETXF.6YS6EN2CT7,11.5680000000,US East (N. Virginia),Memory optimized,96,r5b.24xlarge,768 GiB,EBS only,25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
Y4HP6K9JMEMQQUXZ.JRTCKXETXF.6YS6EN2CT7,1.5424000000,US East (N. Virginia),Compute optimized,16,c6id.4xlarge,32 GiB,1 x 950 NVMe SSD,Up to 12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
Y4Q5Y2CYQ6YG3QVU.JRTCKXETXF.6YS6EN2CT7,0.6740000000,US East (N. Virginia),Compute optimized,8,c6a.2xlarge,16 GiB,EBS only,Up to 12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
Y6JB2MQ25JXZH44A.JRTCKXETXF.6YS6EN2CT7,6.3260000000,US East (N. Virginia),Storage optimized,48,i4i.12xlarge,384 GiB,3 x 3750 NVMe SSD,28125 Megabit,Windows,Storage Optimized,Windows,NA,No License required
Y8NK84SZZZ2XMQGB.JRTCKXETXF.6YS6EN2CT7,0.1780000000,US East (N. Virginia),General purpose,2,m5a.large,8 GiB,EBS only,Up to 10 Gigabit,Windows,General Purpose,Windows,NA,No License required
Y8YEDKFKQQA3DUNE.JRTCKXETXF.6YS6EN2CT7,4.0705000000,US East (N. Virginia),Memory optimized,16,x2iedn.4xlarge,512 GiB,1 x 475 NVMe SSD,Up to 25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
Y9N52D8W4U72JSZF.JRTCKXETXF.6YS6EN2CT7,0.2410000000,US East (N. Virginia),Memory optimized,2,r5n.large,16 GiB,EBS only,Up to 25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
XM2KB7EDN84EEFDW.JRTCKXETXF.6YS6EN2CT7,8.5632000000,US East (N. Virginia),General purpose,96,m6a.24xlarge,384 GiB,EBS only,37500 Megabit,Windows,General Purpose,Windows,NA,No License required
XN67XDRMYQXKPDJ9.JRTCKXETXF.6YS6EN2CT7,0.1028000000,US East (N. Virginia),General purpose,2,t3a.large,8 GiB,EBS only,Up to 5 Gigabit,Windows,General Purpose,Windows,NA,No License required
XNNVA67NWMKK87UN.JRTCKXETXF.6YS6EN2CT7,4.4480000000,US East (N. Virginia),Memory optimized,32,r7iz.8xlarge,256 GiB,EBS only,12500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
XQMBWWKZVA9NRCH9.JRTCKXETXF.6YS6EN2CT7,0.7326400000,US East (N. Virginia),General purpose,8,m7i-flex.2xlarge,32 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
XVU8GV78VTPX5ACQ.JRTCKXETXF.6YS6EN2CT7,16.1760000000,US East (N. Virginia),Compute optimized,192,c6a.metal,384 GiB,EBS only,50000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
XY2WBA6REGFCKY36.JRTCKXETXF.6YS6EN2CT7,4.5120000000,US East (N. Virginia),General purpose,48,m5.12xlarge,192 GiB,EBS only,10 Gigabit,Windows,General Purpose,Windows,NA,No License required
X9PSA23QV2FBUSQJ.JRTCKXETXF.6YS6EN2CT7,0.9640000000,US East (N. Virginia),Memory optimized,8,r5n.2xlarge,64 GiB,EBS only,Up to 25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
XAGFXGW3ZXX9QD5E.JRTCKXETXF.6YS6EN2CT7,0.2400000000,US East (N. Virginia),General purpose,4,t3.xlarge,16 GiB,EBS only,Up to 5 Gigabit,Windows,General Purpose,Windows,NA,No License required
UJFATA5N65Z8EB3E.JRTCKXETXF.6YS6EN2CT7,6.7520000000,US East (N. Virginia),General purpose,64,m5n.16xlarge,256 GiB,EBS only,75 Gigabit,Windows,General Purpose,Windows,NA,No License required
UPABSKTCF3HG8WG9.JRTCKXETXF.6YS6EN2CT7,0.4220000000,US East (N. Virginia),General purpose,4,m5n.xlarge,16 GiB,EBS only,Up to 25 Gigabit,Windows,General Purpose,Windows,NA,No License required
URRF2Q44X79V5NWJ.JRTCKXETXF.6YS6EN2CT7,239.0080000000,US East (N. Virginia),Memory optimized,448,u-24tb1.112xlarge,24576 GiB,EBS only,100 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
USZQRDJJF74G7GDZ.JRTCKXETXF.6YS6EN2CT7,8.2880000000,US East (N. Virginia),Memory optimized,64,r5dn.16xlarge,512 GiB,4 x 600 NVMe SSD,75 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
UVF3W5GDNY9PFU44.JRTCKXETXF.6YS6EN2CT7,13.1456000000,US East (N. Virginia),Compute optimized,128,c6in.32xlarge,256 GiB,EBS only,200000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
UWMG9CQ3FC52C4VA.JRTCKXETXF.6YS6EN2CT7,8.5225600000,US East (N. Virginia),Memory optimized,64,r6in.16xlarge,512 GiB,EBS only,100000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
UY23MW6DPAKU4KJ9.JRTCKXETXF.6YS6EN2CT7,0.4332000000,US East (N. Virginia),General purpose,8,t2.2xlarge,32 GiB,EBS only,Moderate,Windows,General Purpose,Windows,NA,No License required
UY42S2W4AJPYQSQA.JRTCKXETXF.6YS6EN2CT7,0.7800000000,US East (N. Virginia),General purpose,8,m5ad.2xlarge,32 GiB,1 x 300 NVMe SSD,Up to 10 Gigabit,Windows,General Purpose,Windows,NA,No License required
U8P9SG42AAMCXQWY.JRTCKXETXF.6YS6EN2CT7,7.8800000000,US East (N. Virginia),GPU instance,48,g5.12xlarge,192 GiB,1 x 3800 GB NVMe SSD,40 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
UBUJRGMA87YA5MXR.JRTCKXETXF.6YS6EN2CT7,1.4652800000,US East (N. Virginia),General purpose,16,m7i-flex.4xlarge,64 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
UCRH9WYPTSZRPWUK.JRTCKXETXF.6YS6EN2CT7,0.2572000000,US East (N. Virginia),General purpose,2,m5zn.large,8 GiB,EBS only,Up to 25 Gigabit,Windows,General Purpose,Windows,NA,No License required
UD562C8RBBXWR8SY.JRTCKXETXF.6YS6EN2CT7,12.2160000000,US East (N. Virginia),Memory optimized,48,x2iezn.metal,1536 GiB,EBS only,100 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
UDYFDW6Y9G9ZKCUT.JRTCKXETXF.6YS6EN2CT7,7.3993600000,US East (N. Virginia),General purpose,64,m6in.16xlarge,256 GiB,EBS only,100000 Megabit,Windows,General Purpose,Windows,NA,No License required
SU4KHTFQAZH56GVA.JRTCKXETXF.6YS6EN2CT7,0.3568000000,US East (N. Virginia),General purpose,4,m6a.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
SVQT2C6THZT89Y4A.JRTCKXETXF.6YS6EN2CT7,7.5520000000,US East (N. Virginia),Memory optimized,64,r5d.16xlarge,512 GiB,4 x 600 NVMe SSD,20 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
TEQHGYMWE4CH889Y.JRTCKXETXF.6YS6EN2CT7,13.3068800000,US East (N. Virginia),General purpose,128,m7a.32xlarge,512 GiB,EBS only,50000 Megabit,Windows,General Purpose,Windows,NA,No License required
TEYASPUJ85Z54KKH.JRTCKXETXF.6YS6EN2CT7,8.4960000000,US East (N. Virginia),Compute optimized,96,c5.24xlarge,192 GiB,EBS only,25 Gigabit,Windows,Compute Optimized,Windows,NA,No License required
TFYWW8WQP93673FX.JRTCKXETXF.6YS6EN2CT7,6.9760000000,US East (N. Virginia),Memory optimized,64,r6i.16xlarge,512 GiB,EBS only,25000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
THUB53GJ4HASZUST.JRTCKXETXF.6YS6EN2CT7,1.5040000000,US East (N. Virginia),General purpose,16,m5.4xlarge,64 GiB,EBS only,Up to 10 Gigabit,Windows,General Purpose,Windows,NA,No License required
TPSV6ZTWPRMZ3XXE.JRTCKXETXF.6YS6EN2CT7,0.7100000000,US East (N. Virginia),GPU instance,4,g4dn.xlarge,16 GiB,125 GB NVMe SSD,Up to 25 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
T6H2CFRNXUKPA96N.JRTCKXETXF.6YS6EN2CT7,9.6130000000,US East (N. Virginia),Memory optimized,64,x2idn.16xlarge,1024 GiB,1 x 1900 NVMe SSD,50 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
T7FRX7GH6TNPK3RB.JRTCKXETXF.6YS6EN2CT7,4.2180000000,US East (N. Virginia),Storage optimized,32,i4i.8xlarge,256 GiB,2 x 3750 NVMe SSD,18750 Megabit,Windows,Storage Optimized,Windows,NA,No License required
T7WMWMB82H2YK9UB.JRTCKXETXF.6YS6EN2CT7,18.3929600000,US East (N. Virginia),Memory optimized,128,r6idn.32xlarge,1024 GiB,4 x 1900 NVMe SSD,200000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
TB4MYGC7MSS5DCKM.JRTCKXETXF.6YS6EN2CT7,0.7680000000,US East (N. Virginia),General purpose,8,m4.2xlarge,32 GiB,EBS only,High,Windows,General Purpose,Windows,NA,No License required
TC2G2PUXC667HMCA.JRTCKXETXF.6YS6EN2CT7,9.8592000000,US East (N. Virginia),Memory optimized,96,r6a.24xlarge,768 GiB,EBS only,37500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
T9UP5RWHHHNKSSPY.JRTCKXETXF.6YS6EN2CT7,13.4816000000,US East (N. Virginia),General purpose,128,m6id.metal,512 GiB,4 x 1900 NVMe SSD,50000 Megabit,Windows,General Purpose,Windows,NA,No License required
T9Y42UH8HWAB5G5F.JRTCKXETXF.6YS6EN2CT7,7.2960000000,US East (N. Virginia),General purpose,64,m5dn.16xlarge,256 GiB,4 x 600 NVMe SSD,75 Gigabit,Windows,General Purpose,Windows,NA,No License required
TA642HW7KSPC9EY3.JRTCKXETXF.6YS6EN2CT7,0.4460000000,US East (N. Virginia),Memory optimized,4,r5ad.xlarge,32 GiB,1 x 150 NVMe SSD,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
TAUX8DRTS8VG3VB7.JRTCKXETXF.6YS6EN2CT7,6.1696000000,US East (N. Virginia),General purpose,64,m7i.16xlarge,256 GiB,EBS only,25000 Megabit,Windows,General Purpose,Windows,NA,No License required
T2AZS2EF66QENEXP.JRTCKXETXF.6YS6EN2CT7,17.0451200000,US East (N. Virginia),Memory optimized,128,r6in.metal,1024 GiB,EBS only,200000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
TDZD7E4JNS9CEYRE.JRTCKXETXF.6YS6EN2CT7,184.4080000000,US East (N. Virginia),Memory optimized,448,u-18tb1.112xlarge,18432 GiB,EBS only,100 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
TF7ST8JG6E9SZXCE.JRTCKXETXF.6YS6EN2CT7,3.2800000000,US East (N. Virginia),General purpose,32,m5d.8xlarge,128 GiB,2 x 600 NVMe SSD,10 Gigabit,Windows,General Purpose,Windows,NA,No License required
TNK8MST9NEE9X3VF.JRTCKXETXF.6YS6EN2CT7,5.6960000000,US East (N. Virginia),General purpose,64,m5a.16xlarge,256 GiB,EBS only,12 Gigabit,Windows,General Purpose,Windows,NA,No License required
TQVJG37DQMG8JUQA.JRTCKXETXF.6YS6EN2CT7,3.3267200000,US East (N. Virginia),General purpose,32,m7a.8xlarge,128 GiB,EBS only,12500 Megabit,Windows,General Purpose,Windows,NA,No License required
TTTR5G4TWPRK4EEU.JRTCKXETXF.6YS6EN2CT7,13.9520000000,US East (N. Virginia),Memory optimized,128,r6i.32xlarge,1024 GiB,EBS only,50000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
U25TVWAAWGRGVVKF.JRTCKXETXF.6YS6EN2CT7,15.2640000000,US East (N. Virginia),Storage optimized,96,i3en.metal,768 GiB,8 x 7500 NVMe SSD,100 Gigabit,Windows,Storage Optimized,Windows,NA,No License required
U29HXG6E4WRURCBN.JRTCKXETXF.6YS6EN2CT7,17.7920000000,US East (N. Virginia),Memory optimized,128,r7iz.32xlarge,1024 GiB,EBS only,50000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
U2JTCTAX8XJZ2K8X.JRTCKXETXF.6YS6EN2CT7,4.6800000000,US East (N. Virginia),General purpose,48,m5ad.12xlarge,192 GiB,2 x 900 NVMe SSD,10 Gigabit,Windows,General Purpose,Windows,NA,No License required
U2UC654S2AUCXQU6.JRTCKXETXF.6YS6EN2CT7,12.0320000000,US East (N. Virginia),General purpose,128,m6i.metal,512 GiB,EBS only,50000 Megabit,Windows,General Purpose,Windows,NA,No License required
TTS386B2SXKQXGZP.JRTCKXETXF.6YS6EN2CT7,3.6000000000,US East (N. Virginia),Memory optimized,32,r4.8xlarge,244 GiB,EBS only,10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
TV77PCMGHCV3J3FM.JRTCKXETXF.6YS6EN2CT7,10.4640000000,US East (N. Virginia),Memory optimized,96,r5.metal,768 GiB,EBS only,25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
UZMSGR37TS876MGW.JRTCKXETXF.6YS6EN2CT7,7.9360000000,US East (N. Virginia),Storage optimized,72,i3.metal,512 GiB,8 x 1900 NVMe SSD,25 Gigabit,Windows,Storage Optimized,Windows,NA,No License required
V3FZA9N6BF2WRB37.JRTCKXETXF.6YS6EN2CT7,2.7340000000,US East (N. Virginia),Storage optimized,16,d3.4xlarge,128 GiB,12 x 2000 HDD,Up to 15 Gigabit,Windows,Storage Optimized,Windows,NA,No License required
V3G5CXZSJKNN5W3N.JRTCKXETXF.6YS6EN2CT7,0.1770000000,US East (N. Virginia),Compute optimized,2,c6i.large,4 GiB,EBS only,Up to 12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
V3RG7AF3MP388W9R.JRTCKXETXF.6YS6EN2CT7,0.2240000000,US East (N. Virginia),General purpose,4,t3a.xlarge,16 GiB,EBS only,Up to 5 Gigabit,Windows,General Purpose,Windows,NA,No License required
V4AMCYFCGS7KRGQB.JRTCKXETXF.6YS6EN2CT7,11.7192000000,US East (N. Virginia),Memory optimized,96,r7a.24xlarge,768 GiB,EBS only,37500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
V5K26FGAR6BS5W56.JRTCKXETXF.6YS6EN2CT7,0.1880000000,US East (N. Virginia),General purpose,2,m5.large,8 GiB,EBS only,Up to 10 Gigabit,Windows,General Purpose,Windows,NA,No License required
QYFXFTGTF3CQ3XKH.JRTCKXETXF.6YS6EN2CT7,0.0081000000,US East (N. Virginia),General purpose,1,t2.nano,0.5 GiB,EBS only,Low,Windows,General Purpose,Windows,NA,No License required
R4XHKDDZUJXABU4Z.JRTCKXETXF.6YS6EN2CT7,0.1920000000,US East (N. Virginia),Compute optimized,2,c4.large,3.75 GiB,EBS only,Moderate,Windows,Compute Optimized,Windows,NA,No License required
QV83RDMFWDU5WFFX.JRTCKXETXF.6YS6EN2CT7,0.3760000000,US East (N. Virginia),General purpose,4,m6i.xlarge,16 GiB,EBS only,Up to 12500 Megabit,Windows,General Purpose,Windows,NA,No License required
QXBANRT528N3AX2R.JRTCKXETXF.6YS6EN2CT7,9.3600000000,US East (N. Virginia),General purpose,96,m5ad.24xlarge,384 GiB,4 x 900 NVMe SSD,20 Gigabit,Windows,General Purpose,Windows,NA,No License required
QZGMU4WMYX5SH7W3.JRTCKXETXF.6YS6EN2CT7,8.5166400000,US East (N. Virginia),Storage optimized,48,d3en.12xlarge,192 GiB,24 x 14000 HDD,75 Gigabit,Windows,Storage Optimized,Windows,NA,No License required
QM6KSPJ8N9NU5AJA.JRTCKXETXF.6YS6EN2CT7,3.0080000000,US East (N. Virginia),General purpose,32,m6i.8xlarge,128 GiB,EBS only,12500 Megabit,Windows,General Purpose,Windows,NA,No License required
QGW3CA2N3HTG9DSH.JRTCKXETXF.6YS6EN2CT7,1.7440000000,US East (N. Virginia),Memory optimized,16,r6i.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
QKZXUWMRPCEW8QXE.JRTCKXETXF.6YS6EN2CT7,9.1964800000,US East (N. Virginia),Memory optimized,64,r6idn.16xlarge,512 GiB,2 x 1900 NVMe SSD,100000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
QMMNVJ7MZ5KXZ7TJ.JRTCKXETXF.6YS6EN2CT7,0.2410000000,US East (N. Virginia),Memory optimized,2,r5b.large,16 GiB,EBS only,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
QT8WTV6HFQFMJTSJ.JRTCKXETXF.6YS6EN2CT7,1.4500000000,US East (N. Virginia),Compute optimized,16,c7i.4xlarge,32 GiB,EBS only,Up to 12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
QFMHMEBB7RE8B4KU.JRTCKXETXF.6YS6EN2CT7,1.5571200000,US East (N. Virginia),Compute optimized,16,c7a.4xlarge,32 GiB,EBS only,Up to 12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
QF8Y2976N7P6UXAP.JRTCKXETXF.6YS6EN2CT7,8.4960000000,US East (N. Virginia),Compute optimized,96,c6i.24xlarge,192 GiB,EBS only,37500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
QFG6ZP5V8QKYYTQ9.JRTCKXETXF.6YS6EN2CT7,9.3427200000,US East (N. Virginia),Compute optimized,96,c7a.24xlarge,192 GiB,EBS only,37500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
SNTW3QD5G3R2B85T.JRTCKXETXF.6YS6EN2CT7,5.7088000000,US East (N. Virginia),General purpose,64,m6a.16xlarge,256 GiB,EBS only,25000 Megabit,Windows,General Purpose,Windows,NA,No License required
SQEC9Z24F6D4FF3R.JRTCKXETXF.6YS6EN2CT7,0.8720000000,US East (N. Virginia),Memory optimized,8,r5.2xlarge,64 GiB,EBS only,Up to 10 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
RWTXKGH83UGSJTUW.JRTCKXETXF.6YS6EN2CT7,0.9340000000,US East (N. Virginia),GPU instance,4,g3s.xlarge,30.5 GiB,EBS only,10 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
SBSECEMGUAXVW7GG.JRTCKXETXF.6YS6EN2CT7,1.9280000000,US East (N. Virginia),Memory optimized,16,r5n.4xlarge,128 GiB,EBS only,Up to 25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
SBUDGEAD4MKGWZRW.JRTCKXETXF.6YS6EN2CT7,0.2873900000,US East (N. Virginia),Memory optimized,2,r6idn.large,16 GiB,1 x 118 NVMe SSD,Up to 25000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
SCRAYKXZN7A9VVUJ.JRTCKXETXF.6YS6EN2CT7,6.2284800000,US East (N. Virginia),Compute optimized,64,c7a.16xlarge,128 GiB,EBS only,25000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
SGYUS9N7VCKNAXVB.JRTCKXETXF.6YS6EN2CT7,7.5040000000,US East (N. Virginia),GPU instance,64,g3.16xlarge,488 GiB,EBS only,20 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
SKAZ5KHWRZ9CT95Q.JRTCKXETXF.6YS6EN2CT7,3.0860000000,US East (N. Virginia),General purpose,24,m5zn.6xlarge,96 GiB,EBS only,50 Gigabit,Windows,General Purpose,Windows,NA,No License required
SMQW8DG3QYDG9FHA.JRTCKXETXF.6YS6EN2CT7,17.4000000000,US East (N. Virginia),Compute optimized,192,c7i.metal-48xl,384 GiB,EBS only,50000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
SNT4WY4P994WRXTH.JRTCKXETXF.6YS6EN2CT7,1.6432000000,US East (N. Virginia),Memory optimized,16,r6a.4xlarge,128 GiB,EBS only,Up to 12500 Megabit,Windows,Memory Optimized,Windows,NA,No License required
SA3SBP2T8HCQWD6V.JRTCKXETXF.6YS6EN2CT7,3.1860000000,US East (N. Virginia),Compute optimized,36,c5.9xlarge,72 GiB,EBS only,10 Gigabit,Windows,Compute Optimized,Windows,NA,No License required
RPHBK9CY8TXWP5U3.JRTCKXETXF.6YS6EN2CT7,1.0044800000,US East (N. Virginia),General purpose,8,m6idn.2xlarge,32 GiB,1 x 474 NVMe SSD,Up to 40000 Megabit,Windows,General Purpose,Windows,NA,No License required
S2HTBBHEBC2H2XQP.JRTCKXETXF.6YS6EN2CT7,4.2720000000,US East (N. Virginia),Compute optimized,48,c5ad.12xlarge,96 GiB,2 x 900 NVMe SSD,12 Gigabit,Windows,Compute Optimized,Windows,NA,No License required
S3HR5GP6Q7TKAHHX.JRTCKXETXF.6YS6EN2CT7,6.7680000000,US East (N. Virginia),Compute optimized,72,c5d.18xlarge,144 GiB,2 x 900 NVMe SSD,25 Gigabit,Windows,Compute Optimized,Windows,NA,No License required
