rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
ZRQ563Q5AP77Y2NN.JRTCKXETXF.6YS6EN2CT7,12.5600000000,US East (N. Virginia),GPU instance,96,g5.24xlarge,384 GiB,1 x 3800 GB NVMe SSD,50 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
ZS5NVGRQR9NDPEUQ.JRTCKXETXF.6YS6EN2CT7,4.1440000000,US East (N. Virginia),Memory optimized,32,r5dn.8xlarge,256 GiB,2 x 600 NVMe SSD,25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
ZU7GWG22E9W3SPYT.JRTCKXETXF.6YS6EN2CT7,0.4820000000,US East (N. Virginia),Memory optimized,4,r5n.xlarge,32 GiB,EBS only,Up to 25 Gigabit,Windows,Memory Optimized,Windows,NA,No License required
YEYRK7WARZPWGG7C.JRTCKXETXF.6YS6EN2CT7,2.8320000000,US East (N. Virginia),Compute optimized,32,c6i.8xlarge,64 GiB,EBS only,12500 Megabit,Windows,Compute Optimized,Windows,NA,No License required
YHNZP3YEPJBAZNDK.JRTCKXETXF.6YS6EN2CT7,6.1696000000,US East (N. Virginia),Compute optimized,64,c6id.16xlarge,128 GiB,2 x 1900 NVMe SSD,25000 Megabit,Windows,Compute Optimized,Windows,NA,No License required
YJ3MYRBZHPF28GF2.JRTCKXETXF.6YS6EN2CT7,0.2663300000,US East (N. Virginia),Memory optimized,2,r6in.large,16 GiB,EBS only,Up to 25000 Megabit,Windows,Memory Optimized,Windows,NA,No License required
YMET2NQBNPQ9UCE5.JRTCKXETXF.6YS6EN2CT7,9.2544000000,US East (N. Virginia),General purpose,96,m7i.24xlarge,384 GiB,EBS only,37500 Megabit,Windows,General Purpose,Windows,NA,No License required
YS38J6V898MDYYBU.JRTCKXETXF.6YS6EN2CT7,16.0716800000,US East (N. Virginia),General purpose,128,m6idn.metal,512 GiB,4 x 1900 NVMe SSD,200000 Megabit,Windows,General Purpose,Windows,NA,No License required
YSMYYV6Y94GF9ZQ8.JRTCKXETXF.6YS6EN2CT7,0.0186000000,US East (N. Virginia),General purpose,2,t3a.micro,1 GiB,EBS only,Up to 5 Gigabit,Windows,General Purpose,Windows,NA,No License required
YT7QP26RP7SDD96H.JRTCKXETXF.6YS6EN2CT7,25.1200000000,US East (N. Virginia),GPU instance,192,g5.48xlarge,768 GiB,2 x 3800 GB NVMe SSD,100 Gigabit,Windows,Accelerated Computing,Windows,NA,No License required
YUM5RFA8GKDSJKWV.JRTCKXETXF.6YS6EN2CT7,9.0240000000,US East (N. Virginia),General purpose,96,m5.metal,384 GiB,EBS only,25 Gigabit,Windows,General Purpose,Windows,NA,No License required
