# States; # Agents; ATL time [sec]
5;1;0.02962327003479004
5;2;0.004175662994384766
5;3;0.005854606628417969
10;1;0.002221822738647461
10;2;0.021033763885498047
10;3;10.996434211730957
15;1;0.003718137741088867
15;2;0.034601688385009766
15;3;1.4983198642730713
20;1;0.005234718322753906
20;2;0.5375397205352783
20;3;62.46614861488342
25;1;0.016901254653930664
25;2;2.659911632537842
25;3;T.O.
30;1;0.22606182098388672
30;2;6.337922096252441
30;3;T.O.
35;1;0.18127107620239258
35;2;4.458632469177246
35;3;T.O
40;1;0.0912327766418457
40;2;17.943223237991333
40;3;
