ENTITY,CATEGORY,TAG
toponym,TOPONYM,T
person,PERSON,P
book,BOOK,B
misc,MISC,M
date,DATE,Y
month,LUNAR_MONTH,L
age,AGE,A
spelling,,SPL
explanatory terms,,EXP
ism,ONOMASTIC,ISM
kunya,ONOMASTIC,KUN
laqab,ONOMASTIC,LQB
nasab,ONOMASTIC,NAS
nisba,ONOMASTIC,NSB
shuhra,ONOMASTIC,SHR
onom,ONOMASTIC,NASAB
onom,ONOMASTIC,BNASAB
onom,ONOMASTIC,ENASAB
onom,ONOMASTIC,BONOM
onom,ONOMASTIC,EONOM
