label,value
محرم,1
شهر الله المحرم,1
صفر,2
صفر الخير,2
ربيع,3
ربيع الاول,3
ربيع الثاني,4
ربيع الاخر,4
جمادى الاول,5
جمادى الاولى,5
جمادى الاخرة,6
جمادى الاخر,6
جمادى الثانية,6
رجب,7
رجب الفرد,7
رجب المبارك,7
شعبان,8
شعبان المكرم,8
رمضان,9
رمضان المعظم,9
شوال,10
ذي القعدة,11
ذي قعدة,11
ذي الحجة,12
ذي حجة,12
ذو القعدة,11
ذو قعدة,11
ذو الحجة,12
ذو حجة,12
اخر,-1
