序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
1,830779,武汉蓝电,30.000001907348633,65.78,65.78,295755200,941522361.78,3762616000.0,33.697975158691406,0.0,是,1.2566248178482056,1/1,60日新高,仪器仪表
2,831627,力王股份,29.986196517944336,37.67,37.67,544267600,1763615225.0,3557931500.0,32.687400817871094,0.0,是,1.9579436779022217,1/1,60日新高,电池
3,835237,力佳科技,29.98593521118164,46.21,46.21,428611248,3006954015.0,3070931760.0,15.445962905883789,0.0,是,2.3833582401275635,0/0,60日新高,电池
4,831856,浩淼科技,29.971790313720703,18.43,18.43,149312574,883145824.61,1593803417.79,17.53213119506836,0.0,是,1.6003464460372925,1/1,60日新高,专用设备
5,836239,长虹能源,25.323274612426758,58.15,60.32,952333376,2890903059.6,7562582124.45,35.386924743652344,-0.017193946987390518,是,1.697191596031189,0/0,60日新高,电池
6,835508,殷图网联,22.824974060058594,48.0,50.8,304672464,1249800000.0,2400000000.0,25.521997451782227,0.020837673917412758,是,1.9279464483261108,0/0,60日新高,软件开发
7,300619,金银河,20.014963150024414,32.08,32.08,276002816,3528152882.24,4293776183.2799997,8.060683250427246,0.0,是,2.4816131591796875,1/1,60日新高,电池
8,300473,德尔股份,20.012767791748047,37.6,37.6,1761682576,5641879548.8,5676588597.6,32.509254455566406,0.0,是,1.920378565788269,0/0,60日新高,汽车零部
9,300530,领湃科技,19.984012603759766,30.02,30.02,424664336,4751406914.28,5161979647.08,9.562108993530273,0.0,是,1.0650432109832764,1/1,60日新高,电池
10,873152,天宏锂电,19.61992835998535,23.29,25.31,416750704,1589105556.31,2390733987.85,27.42820167541504,0.0,是,2.3534324169158936,0/0,60日新高,电池
11,871396,常辅股份,18.60111427307129,23.4,25.64,162566377,982889364.5999999,1403772552.0,17.28855323791504,0.4723057150840759,是,3.640674352645874,0/0,60日新高,通用设备
12,300035,中科电气,17.522659301757812,19.45,19.86,2943795008,11346184341.0,13331548770.4,26.9180965423584,0.0,是,2.6152989864349365,0/0,60日新高,非金属材
13,688155,先惠技术,16.36522102355957,53.4,55.07,786430432,6677683029.599999,6677683029.599999,12.369091987609863,0.0,是,2.6655147075653076,0/0,60日新高,电池
14,920002,万达轴承,15.608695030212402,265.9,299.0,777059216,1528924999.9999998,8642313708.0,56.071529388427734,0.037622272968292236,否,0.9810333251953125,4/2,近期多次涨停,通用设备
15,300275,梅安森,15.209124565124512,18.18,18.94,1384890368,4636652870.16,5539247910.72,30.591482162475586,0.0,是,2.9141368865966797,0/0,60日新高,仪器仪表
16,300687,赛意信息,14.982935905456543,33.69,35.16,3627968160,10962131203.05,13817110441.439999,32.541900634765625,0.0,是,2.865386962890625,0/0,60日新高,互联网服
